Scale,Method,Cost,Completed,Rejected,Delay,Cost/Task
S,RL-APC,39846,14.5,0.0,136.7,2748
S,Greedy-FR,94772,15.3,1.5,17137.0,6194
S,Standby-Lazy,60731,12.4,3.8,0.0,4911
M,RL-APC,286665,18.1,0.0,21.9,15867
M,Greedy-FR,281349,11.5,21.8,604.8,24536
M,Standby-Lazy,224316,13.8,19.2,0.0,16294
L,RL-APC,662267,17.5,0.0,5743.3,37916
L,Greedy-FR (=Charge-High),336386,30.4,16.8,8456.3,11065
XL,RL-APC,814344,22.2,1.5,3365.5,36737
XL,Greedy-FR,809830,20.0,57.7,176.8,40491
XL,Standby-Lazy,696148,18.8,64.6,0.0,37029
