event_type,rule_id,rule_name,count,frequency
CHARGE_DONE,1,STTF,42,0.0413
CHARGE_DONE,2,EDD,32,0.0315
CHARGE_DONE,3,MST,21,0.0207
CHARGE_DONE,4,HPF,40,0.0394
CHARGE_DONE,7,Charge-Med,2,0.0020
CHARGE_DONE,9,Charge-Opp,102,0.1004
CHARGE_DONE,10,Standby-LowCost,137,0.1348
CHARGE_DONE,11,Standby-Lazy,447,0.4400
CHARGE_DONE,12,Standby-Heatmap,169,0.1663
CHARGE_DONE,15,Insert-MinCost,24,0.0236
DEADLOCK_RISK,1,STTF,19,0.0041
DEADLOCK_RISK,2,EDD,23,0.0050
DEADLOCK_RISK,3,MST,27,0.0058
DEADLOCK_RISK,4,HPF,16,0.0035
DEADLOCK_RISK,6,Charge-Low,44,0.0095
DEADLOCK_RISK,7,Charge-Med,125,0.0270
DEADLOCK_RISK,8,Charge-High,187,0.0404
DEADLOCK_RISK,9,Charge-Opp,2721,0.5881
DEADLOCK_RISK,10,Standby-LowCost,464,0.1003
DEADLOCK_RISK,11,Standby-Lazy,545,0.1178
DEADLOCK_RISK,12,Standby-Heatmap,440,0.0951
DEADLOCK_RISK,15,Insert-MinCost,16,0.0035
ROBOT_IDLE,1,STTF,71,0.0013
ROBOT_IDLE,2,EDD,54,0.0010
ROBOT_IDLE,3,MST,43,0.0008
ROBOT_IDLE,4,HPF,72,0.0014
ROBOT_IDLE,5,Charge-Urgent,8,0.0002
ROBOT_IDLE,6,Charge-Low,14,0.0003
ROBOT_IDLE,7,Charge-Med,42,0.0008
ROBOT_IDLE,8,Charge-High,62,0.0012
ROBOT_IDLE,9,Charge-Opp,13583,0.2574
ROBOT_IDLE,10,Standby-LowCost,1815,0.0344
ROBOT_IDLE,11,Standby-Lazy,34909,0.6616
ROBOT_IDLE,12,Standby-Heatmap,2064,0.0391
ROBOT_IDLE,15,Insert-MinCost,29,0.0005
SOC_LOW,3,MST,1,0.0037
SOC_LOW,4,HPF,4,0.0147
SOC_LOW,6,Charge-Low,4,0.0147
SOC_LOW,7,Charge-Med,6,0.0221
SOC_LOW,8,Charge-High,15,0.0551
SOC_LOW,9,Charge-Opp,151,0.5551
SOC_LOW,10,Standby-LowCost,24,0.0882
SOC_LOW,11,Standby-Lazy,37,0.1360
SOC_LOW,12,Standby-Heatmap,30,0.1103
TASK_ARRIVAL,1,STTF,56,0.0259
TASK_ARRIVAL,2,EDD,75,0.0347
TASK_ARRIVAL,3,MST,48,0.0222
TASK_ARRIVAL,4,HPF,69,0.0320
TASK_ARRIVAL,6,Charge-Low,136,0.0630
TASK_ARRIVAL,7,Charge-Med,155,0.0718
TASK_ARRIVAL,8,Charge-High,145,0.0672
TASK_ARRIVAL,9,Charge-Opp,87,0.0403
TASK_ARRIVAL,13,Accept-Feasible,61,0.0283
TASK_ARRIVAL,14,Accept-Value,1289,0.5970
TASK_ARRIVAL,15,Insert-MinCost,38,0.0176
