event_type,rule_id,rule_name,count,frequency
CHARGE_DONE,2,EDD,3,0.0093
CHARGE_DONE,3,MST,3,0.0093
CHARGE_DONE,7,Charge-Med,1,0.0031
CHARGE_DONE,9,Charge-Opp,8,0.0249
CHARGE_DONE,10,Standby-LowCost,85,0.2648
CHARGE_DONE,11,Standby-Lazy,105,0.3271
CHARGE_DONE,12,Standby-Heatmap,116,0.3614
DEADLOCK_RISK,1,STTF,17,0.0039
DEADLOCK_RISK,2,EDD,27,0.0062
DEADLOCK_RISK,3,MST,19,0.0044
DEADLOCK_RISK,4,HPF,12,0.0028
DEADLOCK_RISK,5,Charge-Urgent,6,0.0014
DEADLOCK_RISK,6,Charge-Low,5,0.0012
DEADLOCK_RISK,7,Charge-Med,46,0.0106
DEADLOCK_RISK,8,Charge-High,113,0.0260
DEADLOCK_RISK,9,Charge-Opp,2261,0.5202
DEADLOCK_RISK,10,Standby-LowCost,528,0.1215
DEADLOCK_RISK,11,Standby-Lazy,680,0.1565
DEADLOCK_RISK,12,Standby-Heatmap,627,0.1443
DEADLOCK_RISK,15,Insert-MinCost,5,0.0012
ROBOT_IDLE,1,STTF,16,0.0004
ROBOT_IDLE,2,EDD,40,0.0010
ROBOT_IDLE,3,MST,41,0.0010
ROBOT_IDLE,4,HPF,17,0.0004
ROBOT_IDLE,5,Charge-Urgent,4,0.0001
ROBOT_IDLE,6,Charge-Low,1,0.0000
ROBOT_IDLE,7,Charge-Med,3,0.0001
ROBOT_IDLE,8,Charge-High,3,0.0001
ROBOT_IDLE,9,Charge-Opp,17967,0.4538
ROBOT_IDLE,10,Standby-LowCost,3976,0.1004
ROBOT_IDLE,11,Standby-Lazy,13655,0.3449
ROBOT_IDLE,12,Standby-Heatmap,3862,0.0975
ROBOT_IDLE,15,Insert-MinCost,7,0.0002
SOC_LOW,1,STTF,1,0.0053
SOC_LOW,3,MST,1,0.0053
SOC_LOW,5,Charge-Urgent,1,0.0053
SOC_LOW,9,Charge-Opp,29,0.1526
SOC_LOW,10,Standby-LowCost,41,0.2158
SOC_LOW,11,Standby-Lazy,50,0.2632
SOC_LOW,12,Standby-Heatmap,66,0.3474
SOC_LOW,15,Insert-MinCost,1,0.0053
TASK_ARRIVAL,1,STTF,108,0.1215
TASK_ARRIVAL,2,EDD,62,0.0697
TASK_ARRIVAL,3,MST,62,0.0697
TASK_ARRIVAL,4,HPF,112,0.1260
TASK_ARRIVAL,6,Charge-Low,6,0.0067
TASK_ARRIVAL,7,Charge-Med,10,0.0112
TASK_ARRIVAL,8,Charge-High,12,0.0135
TASK_ARRIVAL,9,Charge-Opp,6,0.0067
TASK_ARRIVAL,13,Accept-Feasible,68,0.0765
TASK_ARRIVAL,14,Accept-Value,420,0.4724
TASK_ARRIVAL,15,Insert-MinCost,23,0.0259
