seed,oper,reject,unfinished,completed,rejected,method
3006,10522.033852706847,0.0,50.0,8,0,RL-APC
3007,12714.76632573351,0.0,52.0,8,0,RL-APC
3008,11218.486783182958,0.0,42.0,12,0,RL-APC
3009,355304.11571702885,0.0,21.0,36,0,RL-APC
3010,12209.331346176328,0.0,47.0,13,0,RL-APC
3011,12026.355525524781,0.0,41.0,12,0,RL-APC
3012,11530.551016156125,0.0,39.0,15,0,RL-APC
3013,12623.773031158202,0.0,43.0,17,0,RL-APC
3014,11677.676271152573,0.0,26.0,25,0,RL-APC
3015,11454.112860192137,0.0,42.0,17,0,RL-APC
3016,9739.835773299501,0.0,42.0,12,0,RL-APC
3017,11897.267160046618,0.0,43.0,17,0,RL-APC
3018,10664.871128540395,0.0,42.0,14,0,RL-APC
3019,14136.54044677586,0.0,35.0,20,0,RL-APC
3020,9952.368681718142,0.0,46.0,10,0,RL-APC
3021,14234.824200547242,0.0,34.0,25,0,RL-APC
3022,15039.401002186098,0.0,32.0,25,0,RL-APC
3023,14973.435193401536,0.0,44.0,15,0,RL-APC
3024,10647.76703009611,0.0,39.0,13,0,RL-APC
3025,12395.509313555887,0.0,26.0,24,0,RL-APC
3026,11792.457017386196,0.0,45.0,13,0,RL-APC
3027,14674.718079226237,0.0,37.0,15,0,RL-APC
3028,12203.700682379194,0.0,46.0,14,0,RL-APC
3029,11039.451159670793,0.0,45.0,13,0,RL-APC
3030,11603.778798408553,0.0,35.0,18,0,RL-APC
3031,12840.73712440814,0.0,41.0,19,0,RL-APC
3032,11827.923411663589,0.0,27.0,25,0,RL-APC
3033,12907.55876274779,0.0,44.0,15,0,RL-APC
3034,14292.77893482037,0.0,33.0,26,0,RL-APC
3035,12327.96965416955,0.0,30.0,28,0,RL-APC
3006,115616.81719234235,240000.0,1.0,33,24,Charge-High
3007,44076.701773755005,0.0,15.0,45,0,Charge-High
3008,24229.815147586563,180000.0,2.0,34,18,Charge-High
3009,79604.69595238219,180000.0,3.0,36,18,Charge-High
3010,17889.260821596643,280000.0,0.0,32,28,Charge-High
3011,47141.22281751083,200000.0,2.0,31,20,Charge-High
3012,30659.56889190417,190000.0,2.0,33,19,Charge-High
3013,25894.750053861026,150000.0,6.0,39,15,Charge-High
3014,34730.53250771735,0.0,21.0,30,0,Charge-High
3015,30408.242887680255,0.0,33.0,26,0,Charge-High
3016,2535.7257258785235,450000.0,1.0,8,45,Charge-High
3017,26751.86048049535,330000.0,2.0,25,33,Charge-High
3018,25129.931976828328,0.0,24.0,32,0,Charge-High
3019,117949.57863767922,40000.0,6.0,45,4,Charge-High
3020,24895.160031693,210000.0,2.0,33,21,Charge-High
3021,27132.001049483006,230000.0,3.0,33,23,Charge-High
3022,33186.964596447,190000.0,5.0,33,19,Charge-High
3023,17437.28562150158,300000.0,2.0,27,30,Charge-High
3024,25758.54348493514,220000.0,0.0,30,22,Charge-High
3025,18324.468940047846,0.0,27.0,23,0,Charge-High
3026,2885.023141875901,430000.0,7.0,8,43,Charge-High
3027,22552.049495311854,150000.0,3.0,34,15,Charge-High
3028,59883.90235839461,0.0,19.0,41,0,Charge-High
3029,2472.1803243898885,480000.0,2.0,8,48,Charge-High
3030,80393.18343432705,0.0,27.0,26,0,Charge-High
3031,35521.876133178055,0.0,24.0,36,0,Charge-High
3032,47829.17339443995,0.0,26.0,26,0,Charge-High
3033,24679.37939383005,230000.0,2.0,34,23,Charge-High
3034,20003.949342626172,230000.0,3.0,33,23,Charge-High
3035,33801.14948527968,130000.0,7.0,38,13,Charge-High
