Rule,Category,S_Cost,S_Rej,M_Cost,M_Rej,L_Cost,L_Rej,XL_Cost,XL_Rej
STTF,Dispatch,110551,7.9,294978,26.5,491192,45.8,764969,74.0
EDD,Dispatch,110551,7.9,294978,26.5,491192,45.8,764969,74.0
MST,Dispatch,108707,7.5,294407,26.2,490298,45.8,768743,74.3
HPF,Dispatch,110551,7.9,294978,26.5,491192,45.8,764969,74.0
Charge-Urgent,Charge,118337,8.2,301809,26.2,498087,45.5,841829,66.8
Charge-Low,Charge,118135,8.2,335128,21.7,737186,14.7,1141406,34.0
Charge-Med,Charge,112644,7.5,299669,25.9,490829,43.1,915014,57.3
Charge-High,Charge,83962,1.4,266218,20.8,336386,16.8,790373,55.0
Charge-Opp,Charge,83962,1.4,266218,20.8,336386,16.8,790373,55.0
Standby-LC,Standby,126546,9.2,301201,26.3,497103,45.3,762554,74.3
Standby-Lazy,Standby,60731,3.8,224316,19.2,418299,37.9,696148,64.6
Standby-HM,Standby,126546,9.2,301201,26.3,497103,45.3,762554,74.3
Accept-Feas,Accept,118405,8.5,300925,26.3,497360,45.5,780760,74.0
Accept-Val,Accept,157360,0.0,490642,0.0,831429,0.0,1360537,0.0
Insert-MC,Dispatch,103048,2.7,351911,16.0,447292,36.4,747761,46.1
RL-APC,Adaptive,39846,0.0,286665,0.0,662267,0.0,814344,1.5
