Scale,Baseline,RL Mean,BL Mean,Diff %,p-raw,p-adj,Sig,W/L,n_tests
S,Greedy-FR,13162,64725,-79.7,1.86e-08,1.12e-07,***,28/2,6
S,Greedy-PR,13162,64725,-79.7,1.86e-08,1.12e-07,***,28/2,6
S,Random,13162,53207,-75.3,1.86e-09,1.12e-08,***,30/0,6
S,Standby-Lazy,13162,45043,-70.8,1.86e-08,1.12e-07,***,28/2,6
S,Charge-High,13162,58106,-77.3,2.61e-08,1.56e-07,***,28/2,6
S,Charge-Opp,13162,58106,-77.3,2.61e-08,1.56e-07,***,28/2,6
M,Greedy-FR,48745,233564,-79.1,1.86e-09,1.12e-08,***,30/0,6
M,Greedy-PR,48745,233564,-79.1,1.86e-09,1.12e-08,***,30/0,6
M,Random,48745,156522,-68.9,1.86e-09,1.12e-08,***,30/0,6
M,Standby-Lazy,48745,202882,-76.0,1.86e-09,1.12e-08,***,30/0,6
M,Charge-High,48745,225761,-78.4,1.86e-09,1.12e-08,***,30/0,6
M,Charge-Opp,48745,225761,-78.4,1.86e-09,1.12e-08,***,30/0,6
L,Greedy-FR,101616,223112,-54.5,7.99e-06,4.80e-05,***,25/5,6
L,Greedy-PR,101616,223112,-54.5,7.99e-06,4.80e-05,***,25/5,6
L,Random,101616,206111,-50.7,3.15e-07,1.89e-06,***,29/1,6
L,Charge-High,101616,223112,-54.5,7.99e-06,4.80e-05,***,25/5,6
L,Charge-Opp,101616,223112,-54.5,7.99e-06,4.80e-05,***,25/5,6
L,Standby-Lazy,101616,394979,-74.3,3.73e-09,2.24e-08,***,29/1,6
XL,Greedy-FR,130077,606680,-78.6,8.01e-08,4.81e-07,***,26/4,6
XL,Greedy-PR,130077,606680,-78.6,8.01e-08,4.81e-07,***,26/4,6
XL,Random,130077,379041,-65.7,9.31e-09,5.59e-08,***,29/1,6
XL,Standby-Lazy,130077,667971,-80.5,1.86e-09,1.12e-08,***,30/0,6
XL,Insert-MC,130077,605952,-78.5,5.59e-09,3.35e-08,***,29/1,6
XL,Standby-LC,130077,753772,-82.7,1.86e-09,1.12e-08,***,30/0,6
