Scale,Method,Travel,Charging,Tardiness,Idle,Oper,Rejection,Terminal,Total,Rej %
S,RL-APC,1487,78,273,3323,5162,0,8000,13162,0
S,Greedy-FR,8729,1110,34274,4279,48391,15333,1000,64725,24
S,Standby-Lazy,1053,9,0,2982,4043,38000,3000,45043,84
M,RL-APC,3123,199,44,3629,6995,0,41750,48745,0
M,Greedy-FR,4087,336,1210,6182,11814,218000,3750,233564,93
M,Standby-Lazy,1686,6,0,4440,6132,192333,4417,202882,95
L,RL-APC,4598,276,11487,7322,23682,0,77933,101616,0
L,Greedy-FR (=Charge-High),12329,1341,16913,6064,36646,168000,18467,223112,75
XL,RL-APC,7035,392,6731,2052,16210,14667,99200,130077,11
XL,Greedy-FR,7889,509,354,2545,11297,577333,18050,606680,95
XL,Standby-Lazy,3672,4,0,8462,12138,646333,9500,667971,97
