event_type,rule_id,rule_name,count,frequency
CHARGE_DONE,1,STTF,22,0.0361
CHARGE_DONE,2,EDD,12,0.0197
CHARGE_DONE,3,MST,8,0.0131
CHARGE_DONE,4,HPF,6,0.0098
CHARGE_DONE,5,Charge-Urgent,1,0.0016
CHARGE_DONE,6,Charge-Low,2,0.0033
CHARGE_DONE,7,Charge-Med,2,0.0033
CHARGE_DONE,8,Charge-High,1,0.0016
CHARGE_DONE,9,Charge-Opp,80,0.1311
CHARGE_DONE,10,Standby-LowCost,160,0.2623
CHARGE_DONE,11,Standby-Lazy,168,0.2754
CHARGE_DONE,12,Standby-Heatmap,140,0.2295
CHARGE_DONE,15,Insert-MinCost,8,0.0131
DEADLOCK_RISK,1,STTF,56,0.0039
DEADLOCK_RISK,2,EDD,40,0.0028
DEADLOCK_RISK,3,MST,29,0.0020
DEADLOCK_RISK,4,HPF,28,0.0020
DEADLOCK_RISK,5,Charge-Urgent,16,0.0011
DEADLOCK_RISK,6,Charge-Low,26,0.0018
DEADLOCK_RISK,7,Charge-Med,128,0.0090
DEADLOCK_RISK,8,Charge-High,129,0.0091
DEADLOCK_RISK,9,Charge-Opp,12214,0.8604
DEADLOCK_RISK,10,Standby-LowCost,553,0.0390
DEADLOCK_RISK,11,Standby-Lazy,519,0.0366
DEADLOCK_RISK,12,Standby-Heatmap,434,0.0306
DEADLOCK_RISK,15,Insert-MinCost,23,0.0016
ROBOT_IDLE,1,STTF,70,0.0004
ROBOT_IDLE,2,EDD,44,0.0003
ROBOT_IDLE,3,MST,28,0.0002
ROBOT_IDLE,4,HPF,50,0.0003
ROBOT_IDLE,5,Charge-Urgent,20,0.0001
ROBOT_IDLE,6,Charge-Low,19,0.0001
ROBOT_IDLE,7,Charge-Med,34,0.0002
ROBOT_IDLE,8,Charge-High,21,0.0001
ROBOT_IDLE,9,Charge-Opp,41695,0.2575
ROBOT_IDLE,10,Standby-LowCost,2160,0.0133
ROBOT_IDLE,11,Standby-Lazy,115636,0.7140
ROBOT_IDLE,12,Standby-Heatmap,2144,0.0132
ROBOT_IDLE,15,Insert-MinCost,30,0.0002
SOC_LOW,1,STTF,8,0.0186
SOC_LOW,2,EDD,2,0.0047
SOC_LOW,3,MST,5,0.0117
SOC_LOW,4,HPF,2,0.0047
SOC_LOW,6,Charge-Low,4,0.0093
SOC_LOW,7,Charge-Med,6,0.0140
SOC_LOW,8,Charge-High,3,0.0070
SOC_LOW,9,Charge-Opp,149,0.3473
SOC_LOW,10,Standby-LowCost,107,0.2494
SOC_LOW,11,Standby-Lazy,80,0.1865
SOC_LOW,12,Standby-Heatmap,61,0.1422
SOC_LOW,15,Insert-MinCost,2,0.0047
TASK_ARRIVAL,1,STTF,93,0.0285
TASK_ARRIVAL,2,EDD,106,0.0325
TASK_ARRIVAL,3,MST,89,0.0273
TASK_ARRIVAL,4,HPF,103,0.0316
TASK_ARRIVAL,5,Charge-Urgent,8,0.0025
TASK_ARRIVAL,6,Charge-Low,6,0.0018
TASK_ARRIVAL,7,Charge-Med,32,0.0098
TASK_ARRIVAL,8,Charge-High,46,0.0141
TASK_ARRIVAL,9,Charge-Opp,49,0.0150
TASK_ARRIVAL,13,Accept-Feasible,67,0.0205
TASK_ARRIVAL,14,Accept-Value,2599,0.7965
TASK_ARRIVAL,15,Insert-MinCost,65,0.0199
