Scale,Algorithm,Avg Cost,Std Cost,Completed Tasks,Rejected Tasks,Avg Delay,Runtime (s)
S,RL-APC,39846,20262,14.5,0.0,136.7,3.30
S,Greedy-FR,94772,31365,15.3,1.5,17137.0,0.29
S,Greedy-PR,94772,31365,15.3,1.5,17137.0,0.29
S,Random,110832,39880,10.7,3.5,1648.1,0.49
S,ALNS-FR,12345,34098,—,—,—,0.80
S,ALNS-PR,5282,5410,—,—,—,0.98
M,RL-APC,286665,105192,18.1,0.0,21.9,5.23
M,Greedy-FR,281349,49969,11.5,21.8,604.8,0.58
M,Greedy-PR,281349,49969,11.5,21.8,604.8,0.58
M,Random,396505,77631,9.8,11.5,4.3,1.44
M,ALNS-FR,53791,34176,—,—,—,2.16
M,ALNS-PR,53600,33071,—,—,—,7.87
L,RL-APC,662267,159302,17.5,0.0,5743.3,11.54
L,Greedy-FR,336386,89646,30.4,16.8,8456.3,1.59
L,Greedy-PR,336386,89646,30.4,16.8,8456.3,1.56
L,Random,474032,128122,21.6,14.2,5518.2,1.25
XL,RL-APC,814344,370976,22.2,1.5,3365.5,4.24
XL,Greedy-FR,809830,202402,20.0,57.7,176.8,1.03
XL,Greedy-PR,809830,202402,20.0,57.7,176.8,1.02
XL,Random,1011351,161632,18.9,30.7,26.8,2.58
XL,ALNS-FR,175546,48557,—,—,—,9.42
XL,ALNS-PR,170514,45825,—,—,—,45.93
