Scale,Algorithm,Travel,Charging,Tardiness,Waiting,Standby,Total Cost
S,RL-APC,1416.9,130.6,136.7,0.0,64734.0,39846
S,Greedy-FR,8318.5,1850.1,17137.0,0.0,34641.0,94772
S,ALNS-FR,0.0,0.0,0.0,0.0,0.0,12345
M,RL-APC,2978.9,331.3,21.9,0.0,61731.0,286665
M,Greedy-FR,3896.9,559.4,604.8,0.0,40388.0,281349
M,ALNS-FR,0.0,0.0,0.0,0.0,0.0,53791
L,RL-APC,4383.6,460.1,5743.3,0.0,98280.0,662267
L,Greedy-FR,11763.6,2234.4,8456.3,0.0,57235.0,336386
XL,RL-APC,6704.3,654.0,3365.5,0.0,27122.0,814344
XL,Greedy-FR,7519.6,847.9,176.8,0.0,26356.0,809830
XL,ALNS-FR,0.0,0.0,0.0,0.0,0.0,175546
