step,time,event_type,selected_rule,masked,travel,charging,tardiness,waiting,conflict_wait,rejection,standby,total
1,0.0,ROBOT_IDLE,9,False,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
2,4.802343178074636,ROBOT_IDLE,8,True,96.04686356149273,0.0,0.0,0.0,0.0,0.0,1.5,102.34920673956736
3,4.802343178074636,ROBOT_IDLE,8,False,96.04686356149273,0.0,0.0,0.0,2.5011715890373183,0.0,1.5,104.85037832860468
4,0.0,ROBOT_IDLE,9,False,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
5,4.802343178074636,ROBOT_IDLE,8,True,96.04686356149273,0.0,0.0,0.0,5.002343178074637,0.0,1.5,107.351549917642
6,4.802343178074636,ROBOT_IDLE,8,False,96.04686356149273,0.0,0.0,0.0,6.003514767111955,0.0,1.5,108.35272150667932
7,0.0,ROBOT_IDLE,9,False,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
8,0.0,ROBOT_IDLE,9,False,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
9,0.0,ROBOT_IDLE,8,True,0.0,0.0,0.0,0.0,7.603514767111955,0.0,1.5,9.103514767111955
10,0.0,ROBOT_IDLE,9,False,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
11,4.802343178074636,ROBOT_IDLE,8,False,96.04686356149273,0.0,0.0,0.0,4.703514767111955,0.0,1.5,107.05272150667932
12,0.0,DEADLOCK_RISK,9,False,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
13,0.0,ROBOT_IDLE,9,False,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
14,0.0,ROBOT_IDLE,9,False,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
15,0.0,DEADLOCK_RISK,8,False,0.0,0.0,0.0,0.0,1.8,0.0,1.5,3.3
16,0.0,ROBOT_IDLE,9,False,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
17,0.0,ROBOT_IDLE,9,False,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
18,0.0,ROBOT_IDLE,8,True,0.0,0.0,0.0,0.0,5.901171589037318,0.0,1.5,7.401171589037318
19,0.0,ROBOT_IDLE,8,True,0.0,0.0,0.0,0.0,7.002343178074637,0.0,1.5,8.502343178074636
20,0.0,DEADLOCK_RISK,8,False,0.0,0.0,0.0,0.0,3.3000000000000003,0.0,1.5,4.800000000000001
21,0.0,ROBOT_IDLE,9,False,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
22,0.0,ROBOT_IDLE,8,False,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
23,0.0,DEADLOCK_RISK,8,True,0.0,0.0,0.0,0.0,0.1,0.0,1.5,1.6
24,0.0,ROBOT_IDLE,8,False,0.0,0.0,0.0,0.0,12.700000000000006,0.0,1.5,14.200000000000006
25,0.0,DEADLOCK_RISK,9,False,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
26,0.0,ROBOT_IDLE,8,True,0.0,0.0,0.0,0.0,12.700000000000001,0.0,1.5,14.200000000000001
27,0.0,DEADLOCK_RISK,8,True,0.0,0.0,0.0,0.0,1.8,0.0,1.5,3.3
28,0.0,ROBOT_IDLE,9,False,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
29,0.0,DEADLOCK_RISK,8,True,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
30,0.0,ROBOT_IDLE,8,False,0.0,0.0,0.0,0.0,15.700000000000001,0.0,1.5,17.200000000000003
31,0.0,DEADLOCK_RISK,8,False,0.0,0.0,0.0,0.0,1.7000000000000002,0.0,1.5,3.2
32,0.0,ROBOT_IDLE,8,True,0.0,0.0,0.0,0.0,17.3,0.0,1.5,18.8
33,0.0,DEADLOCK_RISK,9,False,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
34,0.0,ROBOT_IDLE,8,False,0.0,0.0,0.0,0.0,0.2,0.0,1.5,1.7
35,0.0,TASK_ARRIVAL,11,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,4.075496765746368,ROBOT_IDLE,3,False,81.50993531492736,0.0,0.0,0.0,0.0,0.0,0.0,85.58543208067373
37,0.0,ROBOT_IDLE,9,False,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
38,3.952218847543975,ROBOT_IDLE,8,True,79.0443769508795,0.0,0.0,0.0,0.0,0.0,1.5,84.49659579842347
39,0.0,ROBOT_IDLE,8,False,0.0,0.0,0.0,0.0,0.1,0.0,1.5,1.6
40,0.0,DEADLOCK_RISK,9,False,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
41,0.0,ROBOT_IDLE,9,False,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
42,0.0,ROBOT_IDLE,8,True,0.0,0.0,0.0,0.0,11.200000000000001,0.0,1.5,12.700000000000001
43,0.0,DEADLOCK_RISK,9,False,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
44,0.0,ROBOT_IDLE,8,False,0.0,0.0,0.0,0.0,12.700000000000001,0.0,1.5,14.200000000000001
45,0.0,DEADLOCK_RISK,8,False,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
46,0.0,ROBOT_IDLE,9,False,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
47,0.0,TASK_ARRIVAL,12,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,4.751923077409879,ROBOT_IDLE,2,False,95.0384615481978,0.0,0.0,0.0,0.0,0.0,0.0,99.79038462560769
49,0.0,ROBOT_IDLE,9,False,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
50,0.0,DEADLOCK_RISK,8,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,ROBOT_IDLE,9,False,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
52,6.046693311223908,ROBOT_IDLE,6,False,120.93386622447827,20.54710946789565,0.0,0.0,0.0,0.0,0.0,147.52766900359782
53,0.0,DEADLOCK_RISK,6,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,0.0,ROBOT_IDLE,8,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,0.0,TASK_ARRIVAL,1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,0.0,ROBOT_IDLE,11,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,0.0,DEADLOCK_RISK,3,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,4.715236607042766,ROBOT_IDLE,2,False,94.30473214085532,0.0,0.0,0.0,0.0,0.0,0.0,99.01996874789809
59,0.0,TASK_ARRIVAL,6,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,8.305468700440462,CHARGE_DONE,1,False,166.10937400880914,0.0,0.0,0.0,0.0,0.0,0.0,174.4148427092496
61,5.420199734337462,CHARGE_DONE,8,False,108.40399468674946,0.0,0.0,0.0,2.08962673092592,0.0,1.5,117.41382115201283
62,0.0,CHARGE_DONE,8,False,0.0,0.0,0.0,0.0,3.0,0.0,1.5,4.5
63,0.0,ROBOT_IDLE,8,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
