step,time,event_type,selected_rule,masked,travel,charging,tardiness,waiting,conflict_wait,rejection,standby,total
1,0.0,ROBOT_IDLE,9,False,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
2,3.2015621187164243,ROBOT_IDLE,8,True,64.03124237432849,0.0,0.0,0.0,0.0,0.0,1.5,68.73280449304491
3,0.0,ROBOT_IDLE,9,False,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
4,3.2015621187164243,ROBOT_IDLE,8,False,64.03124237432849,0.0,0.0,0.0,0.20078105935821214,0.0,1.5,68.93358555240312
5,0.0,ROBOT_IDLE,9,False,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
6,0.0,ROBOT_IDLE,9,False,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
7,0.0,ROBOT_IDLE,8,False,0.0,0.0,0.0,0.0,1.8007810593582123,0.0,1.5,3.3007810593582123
8,0.0,ROBOT_IDLE,9,False,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
9,0.0,ROBOT_IDLE,9,False,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
10,3.2015621187164243,ROBOT_IDLE,8,False,64.03124237432849,0.0,0.0,0.0,0.0,0.0,1.5,68.73280449304491
11,0.0,ROBOT_IDLE,8,False,0.0,0.0,0.0,0.0,2.899218940641788,0.0,1.5,4.399218940641788
12,0.0,DEADLOCK_RISK,8,True,0.0,0.0,0.0,0.0,0.1,0.0,1.5,1.6
13,0.0,ROBOT_IDLE,8,False,0.0,0.0,0.0,0.0,5.999218940641788,0.0,1.5,7.499218940641788
14,0.0,ROBOT_IDLE,9,False,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
15,2.734857332508017,TASK_ARRIVAL,1,False,54.69714665016039,0.0,0.0,0.0,0.0,0.0,0.0,57.432003982668405
16,0.0,ROBOT_IDLE,8,True,0.0,0.0,0.0,0.0,3.4000000000000004,0.0,1.5,4.9
17,2.703062389465845,DEADLOCK_RISK,8,False,54.06124778931695,0.0,0.0,0.0,0.0,0.0,1.5,58.26431017878279
18,0.0,ROBOT_IDLE,8,False,0.0,0.0,0.0,0.0,0.1,0.0,1.5,1.6
19,0.0,ROBOT_IDLE,8,False,0.0,0.0,0.0,0.0,0.1,0.0,1.5,1.6
20,0.0,DEADLOCK_RISK,8,False,0.0,0.0,0.0,0.0,0.1,0.0,1.5,1.6
21,0.0,ROBOT_IDLE,9,False,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
22,0.0,ROBOT_IDLE,8,False,0.0,0.0,0.0,0.0,0.2,0.0,1.5,1.7
23,0.0,DEADLOCK_RISK,9,False,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
24,0.0,ROBOT_IDLE,8,True,0.0,0.0,0.0,0.0,1.7000000000000002,0.0,1.5,3.2
25,0.0,ROBOT_IDLE,8,False,0.0,0.0,0.0,0.0,1.7000000000000002,0.0,1.5,3.2
26,0.0,DEADLOCK_RISK,8,False,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
